"SITC","Landen","Perioden","Invoerwaarde (mln euro)","Uitvoerwaarde (mln euro)","Handelsbalans (mln euro)","Jaarmutatie invoerwaarde (%)","Jaarmutatie uitvoerwaarde (%)"
"04 Granen en graanproducten","EU (exclusief Nederland)","2021 oktober","399","219","-180","21,1","6,7"
"04 Granen en graanproducten","EU (exclusief Nederland)","2021 november","450","223","-227","35,7","12,4"
"04 Granen en graanproducten","EU (exclusief Nederland)","2021 december","484","220","-265","39,9","13,7"
"04 Granen en graanproducten","EU (exclusief Nederland)","2021","4.694","2.506","-2.188",".","."
"04 Granen en graanproducten","EU (exclusief Nederland)","2022 januari*","379","199","-180",".","."
"04 Granen en graanproducten","EU (exclusief Nederland)","2022 februari*","389","210","-180",".","."
"04 Granen en graanproducten","EU (exclusief Nederland)","2022 maart*","504","258","-245",".","."
"04 Granen en graanproducten","EU (exclusief Nederland)","2022 april*","528","216","-313",".","."
"04 Granen en graanproducten","Niet-EU","2021 mei","115","65","-50","-5,7","20,5"
"04 Granen en graanproducten","Niet-EU","2021 juni","92","72","-21","-20,5","16,9"
"04 Granen en graanproducten","Niet-EU","2021 juli","138","75","-63","76,4","9,5"
"04 Granen en graanproducten","Niet-EU","2021 augustus","153","69","-84","71,4","14,5"
"04 Granen en graanproducten","Niet-EU","2021 september","73","75","2","-8,9","0,5"
"04 Granen en graanproducten","Niet-EU","2021 oktober","54","67","13","-37,6","-8,9"
"04 Granen en graanproducten","Niet-EU","2021 november","85","85","0","-18,6","8,3"
"04 Granen en graanproducten","Niet-EU","2021 december","135","78","-56","24,3","7,8"
"04 Granen en graanproducten","Niet-EU","2021","1.249","859","-390",".","."
"04 Granen en graanproducten","Niet-EU","2022 januari*","162","67","-95",".","."
"04 Granen en graanproducten","Niet-EU","2022 februari*","156","72","-84",".","."
"04 Granen en graanproducten","Niet-EU","2022 maart*","116","88","-27",".","."
"04 Granen en graanproducten","Niet-EU","2022 april*","103","85","-19",".","."
"05 Groenten en fruit","Totaal landen","2021 mei","1.073","1.733","660","0,6","2,9"
"05 Groenten en fruit","Totaal landen","2021 juni","1.061","1.779","718","0,7","9,8"
"05 Groenten en fruit","Totaal landen","2021 juli","979","1.659","680","1,6","4,6"
"05 Groenten en fruit","Totaal landen","2021 augustus","926","1.610","684","13,1","8,3"
"05 Groenten en fruit","Totaal landen","2021 september","989","1.685","696","4,5","5,3"
"05 Groenten en fruit","Totaal landen","2021 oktober","987","1.619","632","0,2","1,0"
"05 Groenten en fruit","Totaal landen","2021 november","1.093","1.640","547","8,6","13,5"
"05 Groenten en fruit","Totaal landen","2021 december","1.177","1.666","488","11,8","10,8"
"05 Groenten en fruit","Totaal landen","2021","12.820","19.990","7.170","2,5","4,9"
"05 Groenten en fruit","Totaal landen","2022 januari*","1.101","1.514","413",".","."
"05 Groenten en fruit","Totaal landen","2022 februari*","1.078","1.518","440",".","."
"05 Groenten en fruit","Totaal landen","2022 maart*","1.349","1.789","440",".","."
"05 Groenten en fruit","Totaal landen","2022 april*","1.236","1.931","695",".","."
"05 Groenten en fruit","EU (exclusief Nederland)","2021 mei","453","1.417","964","1,1","7,0"
"05 Groenten en fruit","EU (exclusief Nederland)","2021 juni","476","1.406","930","8,5","10,6"
"05 Groenten en fruit","EU (exclusief Nederland)","2021 juli","430","1.294","864","4,2","5,9"
"05 Groenten en fruit","EU (exclusief Nederland)","2021 augustus","406","1.222","816","8,3","8,3"
"05 Groenten en fruit","EU (exclusief Nederland)","2021 september","433","1.261","828","8,0","5,5"
"05 Groenten en fruit","EU (exclusief Nederland)","2021 oktober","452","1.220","768","3,8","6,1"
"05 Groenten en fruit","EU (exclusief Nederland)","2021 november","500","1.207","707","11,7","20,5"
"05 Groenten en fruit","EU (exclusief Nederland)","2021 december","549","1.284","734","12,0","15,9"
"05 Groenten en fruit","EU (exclusief Nederland)","2021","5.657","15.599","9.942",".","."
"05 Groenten en fruit","EU (exclusief Nederland)","2022 januari*","489","1.191","702",".","."
"05 Groenten en fruit","EU (exclusief Nederland)","2022 februari*","516","1.191","675",".","."
"05 Groenten en fruit","EU (exclusief Nederland)","2022 maart*","574","1.406","833",".","."
"05 Groenten en fruit","EU (exclusief Nederland)","2022 april*","541","1.520","979",".","."
